Age (Ma),Mean (Diameter) (µm),Shape Factor,Sphericity,δ13C,δ18O
3.176,265.5075545056301,1.8091096001470552,1.711053466567467,-0.122,3.415
0.11,291.1856941516118,0.7913494406370483,0.652811480828612,-0.454,4.236
0.098,294.15221942018866,0.7965072057835502,0.6550541127664123,-0.178,4.354
0.34,282.1671280313374,0.8265090496209347,0.6977480118008005,-1.293,4.386
0.344,282.3350781565226,0.8095799800706469,0.6910634752087075,-1.05,4.867
0.624,280.71565636298266,0.8171266438388602,0.6791109632216518,-0.553,4.477
1.002,260.6871255244616,0.821139533136836,0.6902037521667835,-0.19,4.038
1.674,255.22481659655745,0.8061642602677672,0.6824353095709372,-0.28,4.319
1.718,260.93512351471816,0.8140343638127092,0.6878338683300599,-0.48,3.658
1.968,256.0985094301021,0.8171695717856531,0.6818169205776469,0.025,3.834
3.432,295.884557140933,1.810895309306232,1.700977374197904,-0.332,3.192
3.998,275.0196924590178,1.802028336543548,1.703504815545806,-0.232,3.367
3.986,273.7151132317662,1.8002759873497485,1.7060185362414453,-0.093,3.232
0.234,276.3887009359652,0.8077626940032366,0.7061542660333073,-0.507,4.579
0.234,238.13594845931087,1.8250505934897452,1.7350617894731553,-0.507,4.579
0.242,282.78536172563867,1.8044853083980863,1.67490825426624,-0.69,4.091
0.854,276.2553795662646,0.8015349943292119,0.6688435486884268,-0.452,3.891
0.894,292.5843346623176,0.802406170595368,0.6865892703333187,-1.534,4.841
0.926,294.73825663705907,0.7917084462769493,0.6897822308028992,-1.302,4.653
0.926,291.60648670124345,1.818356600381336,1.710310087079467,-1.302,4.653
1.136,290.8473394929832,0.7882040908202055,0.6963061027481579,-0.402,4.494
1.136,284.7038114214542,1.82287198786937,1.725023662803662,-0.402,4.494
1.126,272.15759019153234,0.7999262836101403,0.6958354044964763,-0.989,4.695
1.126,255.80652225907036,1.8177501768641984,1.7126178665095568,-0.989,4.695
1.13,270.73320060175325,0.8000547757482378,0.6955914073881366,-0.89,4.554
1.132,259.02792255138104,0.8021074209231198,0.6850993787910605,-0.715,4.556
1.872,256.1429559679548,0.7872732968138483,0.7060130133569192,0.022,3.966
1.936,266.9034757663009,0.8138210685822345,0.684602539206809,-0.698,3.756
2.24,265.4915102236205,0.8144225649763358,0.6769375434779402,-1.249,4.357
2.22,245.7564382265463,0.8188410000818357,0.6854483284090014,-0.593,3.87
